"Notes","State","State Code","Year","Year Code","Age Group","Age Group Code","Cause of death","Cause of death Code",Deaths,Population,Crude Rate
,"Vermont","50","2003","2003","65-74 years","65-74","Chronic obstructive pulmonary disease, unspecified","J44.9",51,40768,125.1
,"Vermont","50","2003","2003","65-74 years","65-74","Alcoholic cirrhosis of liver","K70.3",11,40768,27.0 (Unreliable)
,"Vermont","50","2003","2003","75-84 years","75-84","Septicaemia, unspecified","A41.9",14,28043,49.9 (Unreliable)
,"Vermont","50","2003","2003","75-84 years","75-84","Colon, unspecified - Malignant neoplasms","C18.9",25,28043,89.1
,"Vermont","50","2003","2003","75-84 years","75-84","Pancreas, unspecified - Malignant neoplasms","C25.9",16,28043,57.1 (Unreliable)
,"Vermont","50","2003","2003","75-84 years","75-84","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",99,28043,353.0
,"Vermont","50","2003","2003","75-84 years","75-84","Breast, unspecified - Malignant neoplasms","C50.9",17,28043,60.6 (Unreliable)
,"Vermont","50","2003","2003","75-84 years","75-84","Malignant neoplasm of prostate","C61",38,28043,135.5
,"Vermont","50","2003","2003","75-84 years","75-84","Bladder, unspecified - Malignant neoplasms","C67.9",11,28043,39.2 (Unreliable)
,"Vermont","50","2003","2003","75-84 years","75-84","Malignant neoplasm without specification of site","C80",25,28043,89.1
,"Vermont","50","2003","2003","75-84 years","75-84","Non-Hodgkin lymphoma, unspecified type","C85.9",14,28043,49.9 (Unreliable)
,"Vermont","50","2003","2003","75-84 years","75-84","Non-insulin-dependent diabetes mellitus, without complications","E11.9",10,28043,35.7 (Unreliable)
,"Vermont","50","2003","2003","75-84 years","75-84","Unspecified diabetes mellitus, without complications","E14.9",28,28043,99.8
,"Vermont","50","2003","2003","75-84 years","75-84","Unspecified dementia","F03",37,28043,131.9
,"Vermont","50","2003","2003","75-84 years","75-84","Parkinson disease","G20",21,28043,74.9
,"Vermont","50","2003","2003","75-84 years","75-84","Alzheimer disease, unspecified","G30.9",51,28043,181.9
,"Vermont","50","2003","2003","75-84 years","75-84","Hypertensive heart disease without (congestive) heart failure","I11.9",14,28043,49.9 (Unreliable)
,"Vermont","50","2003","2003","75-84 years","75-84","Acute myocardial infarction, unspecified","I21.9",93,28043,331.6
,"Vermont","50","2003","2003","75-84 years","75-84","Atherosclerotic cardiovascular disease, so described","I25.0",58,28043,206.8
,"Vermont","50","2003","2003","75-84 years","75-84","Atherosclerotic heart disease","I25.1",111,28043,395.8
,"Vermont","50","2003","2003","75-84 years","75-84","Congestive heart failure","I50.0",22,28043,78.5
,"Vermont","50","2003","2003","75-84 years","75-84","Stroke, not specified as haemorrhage or infarction","I64",34,28043,121.2
,"Vermont","50","2003","2003","75-84 years","75-84","Sequelae of stroke, not specified as haemorrhage or infarction","I69.4",13,28043,46.4 (Unreliable)
,"Vermont","50","2003","2003","75-84 years","75-84","Pneumonia, unspecified","J18.9",34,28043,121.2
,"Vermont","50","2003","2003","75-84 years","75-84","Chronic obstructive pulmonary disease, unspecified","J44.9",99,28043,353.0
,"Vermont","50","2003","2003","75-84 years","75-84","Urinary tract infection, site not specified","N39.0",11,28043,39.2 (Unreliable)
,"Vermont","50","2003","2003","75-84 years","75-84","Other fall on same level","W18",15,28043,53.5 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Colon, unspecified - Malignant neoplasms","C18.9",19,10602,179.2 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",15,10602,141.5 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Breast, unspecified - Malignant neoplasms","C50.9",16,10602,150.9 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Malignant neoplasm of prostate","C61",23,10602,216.9
,"Vermont","50","2003","2003","85+ years","85+","Malignant neoplasm without specification of site","C80",15,10602,141.5 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Non-insulin-dependent diabetes mellitus, without complications","E11.9",15,10602,141.5 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Unspecified diabetes mellitus, without complications","E14.9",35,10602,330.1
,"Vermont","50","2003","2003","85+ years","85+","Volume depletion","E86",10,10602,94.3 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Unspecified dementia","F03",94,10602,886.6
,"Vermont","50","2003","2003","85+ years","85+","Parkinson disease","G20",24,10602,226.4
,"Vermont","50","2003","2003","85+ years","85+","Alzheimer disease, unspecified","G30.9",104,10602,980.9
,"Vermont","50","2003","2003","85+ years","85+","Hypertensive heart disease with (congestive) heart failure","I11.0",17,10602,160.3 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Acute myocardial infarction, unspecified","I21.9",104,10602,980.9
,"Vermont","50","2003","2003","85+ years","85+","Atherosclerotic cardiovascular disease, so described","I25.0",108,10602,1018.7
,"Vermont","50","2003","2003","85+ years","85+","Atherosclerotic heart disease","I25.1",146,10602,1377.1
,"Vermont","50","2003","2003","85+ years","85+","Aortic (valve) stenosis","I35.0",18,10602,169.8 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Cardiomyopathy, unspecified","I42.9",12,10602,113.2 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Sudden cardiac death, so described","I46.1",10,10602,94.3 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Atrial fibrillation and flutter","I48",25,10602,235.8
,"Vermont","50","2003","2003","85+ years","85+","Congestive heart failure","I50.0",30,10602,283.0
,"Vermont","50","2003","2003","85+ years","85+","Stroke, not specified as haemorrhage or infarction","I64",90,10602,848.9
,"Vermont","50","2003","2003","85+ years","85+","Sequelae of stroke, not specified as haemorrhage or infarction","I69.4",17,10602,160.3 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Sequelae of other and unspecified cerebrovascular diseases","I69.8",18,10602,169.8 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Pneumonia, unspecified","J18.9",59,10602,556.5
,"Vermont","50","2003","2003","85+ years","85+","Chronic obstructive pulmonary disease, unspecified","J44.9",73,10602,688.5
,"Vermont","50","2003","2003","85+ years","85+","Pneumonitis due to food and vomit","J69.0",12,10602,113.2 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Gastrointestinal haemorrhage, unspecified","K92.2",14,10602,132.1 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Unspecified renal failure","N19",13,10602,122.6 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Urinary tract infection, site not specified","N39.0",13,10602,122.6 (Unreliable)
,"Vermont","50","2003","2003","85+ years","85+","Other fall on same level","W18",16,10602,150.9 (Unreliable)
,"Vermont","50","2004","2004","45-54 years","45-54","Colon, unspecified - Malignant neoplasms","C18.9",11,101298,10.9 (Unreliable)
,"Vermont","50","2004","2004","45-54 years","45-54","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",24,101298,23.7
,"Vermont","50","2004","2004","45-54 years","45-54","Breast, unspecified - Malignant neoplasms","C50.9",15,101298,14.8 (Unreliable)
,"Vermont","50","2004","2004","45-54 years","45-54","Acute myocardial infarction, unspecified","I21.9",11,101298,10.9 (Unreliable)
,"Vermont","50","2004","2004","45-54 years","45-54","Atherosclerotic cardiovascular disease, so described","I25.0",17,101298,16.8 (Unreliable)
,"Vermont","50","2004","2004","45-54 years","45-54","Atherosclerotic heart disease","I25.1",13,101298,12.8 (Unreliable)
,"Vermont","50","2004","2004","55-64 years","55-64","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",78,71444,109.2
,"Vermont","50","2004","2004","55-64 years","55-64","Breast, unspecified - Malignant neoplasms","C50.9",23,71444,32.2
,"Vermont","50","2004","2004","55-64 years","55-64","Unspecified diabetes mellitus, without complications","E14.9",14,71444,19.6 (Unreliable)
,"Vermont","50","2004","2004","55-64 years","55-64","Acute myocardial infarction, unspecified","I21.9",29,71444,40.6
,"Vermont","50","2004","2004","55-64 years","55-64","Atherosclerotic cardiovascular disease, so described","I25.0",28,71444,39.2
,"Vermont","50","2004","2004","55-64 years","55-64","Atherosclerotic heart disease","I25.1",13,71444,18.2 (Unreliable)
,"Vermont","50","2004","2004","55-64 years","55-64","Chronic obstructive pulmonary disease, unspecified","J44.9",15,71444,21.0 (Unreliable)
,"Vermont","50","2004","2004","65-74 years","65-74","Oesophagus, unspecified - Malignant neoplasms","C15.9",10,41141,24.3 (Unreliable)
,"Vermont","50","2004","2004","65-74 years","65-74","Colon, unspecified - Malignant neoplasms","C18.9",23,41141,55.9
,"Vermont","50","2004","2004","65-74 years","65-74","Pancreas, unspecified - Malignant neoplasms","C25.9",21,41141,51.0
,"Vermont","50","2004","2004","65-74 years","65-74","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",89,41141,216.3
,"Vermont","50","2004","2004","65-74 years","65-74","Breast, unspecified - Malignant neoplasms","C50.9",16,41141,38.9 (Unreliable)
,"Vermont","50","2004","2004","65-74 years","65-74","Malignant neoplasm of prostate","C61",15,41141,36.5 (Unreliable)
,"Vermont","50","2004","2004","65-74 years","65-74","Malignant neoplasm without specification of site","C80",15,41141,36.5 (Unreliable)
,"Vermont","50","2004","2004","65-74 years","65-74","Non-Hodgkin lymphoma, unspecified type","C85.9",11,41141,26.7 (Unreliable)
,"Vermont","50","2004","2004","65-74 years","65-74","Unspecified diabetes mellitus, without complications","E14.9",20,41141,48.6
,"Vermont","50","2004","2004","65-74 years","65-74","Acute myocardial infarction, unspecified","I21.9",50,41141,121.5
,"Vermont","50","2004","2004","65-74 years","65-74","Atherosclerotic cardiovascular disease, so described","I25.0",46,41141,111.8
,"Vermont","50","2004","2004","65-74 years","65-74","Atherosclerotic heart disease","I25.1",34,41141,82.6
,"Vermont","50","2004","2004","65-74 years","65-74","Stroke, not specified as haemorrhage or infarction","I64",20,41141,48.6
,"Vermont","50","2004","2004","65-74 years","65-74","Chronic obstructive pulmonary disease, unspecified","J44.9",61,41141,148.3
,"Vermont","50","2004","2004","75-84 years","75-84","Septicaemia, unspecified","A41.9",11,28369,38.8 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Colon, unspecified - Malignant neoplasms","C18.9",26,28369,91.6
,"Vermont","50","2004","2004","75-84 years","75-84","Pancreas, unspecified - Malignant neoplasms","C25.9",20,28369,70.5
,"Vermont","50","2004","2004","75-84 years","75-84","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",99,28369,349.0
,"Vermont","50","2004","2004","75-84 years","75-84","Breast, unspecified - Malignant neoplasms","C50.9",19,28369,67.0 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Malignant neoplasm of ovary","C56",10,28369,35.2 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Malignant neoplasm of prostate","C61",39,28369,137.5
,"Vermont","50","2004","2004","75-84 years","75-84","Malignant neoplasm without specification of site","C80",20,28369,70.5
,"Vermont","50","2004","2004","75-84 years","75-84","Multiple myeloma - Malignant neoplasms","C90.0",11,28369,38.8 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Unspecified diabetes mellitus, without complications","E14.9",36,28369,126.9
,"Vermont","50","2004","2004","75-84 years","75-84","Unspecified dementia","F03",30,28369,105.7
,"Vermont","50","2004","2004","75-84 years","75-84","Parkinson disease","G20",26,28369,91.6
,"Vermont","50","2004","2004","75-84 years","75-84","Alzheimer disease, unspecified","G30.9",59,28369,208.0
,"Vermont","50","2004","2004","75-84 years","75-84","Acute myocardial infarction, unspecified","I21.9",86,28369,303.1
,"Vermont","50","2004","2004","75-84 years","75-84","Atherosclerotic cardiovascular disease, so described","I25.0",65,28369,229.1
,"Vermont","50","2004","2004","75-84 years","75-84","Atherosclerotic heart disease","I25.1",110,28369,387.7
,"Vermont","50","2004","2004","75-84 years","75-84","Ischaemic cardiomyopathy","I25.5",12,28369,42.3 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Aortic (valve) stenosis","I35.0",14,28369,49.3 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Congestive heart failure","I50.0",26,28369,91.6
,"Vermont","50","2004","2004","75-84 years","75-84","Stroke, not specified as haemorrhage or infarction","I64",46,28369,162.1
,"Vermont","50","2004","2004","75-84 years","75-84","Sequelae of other and unspecified cerebrovascular diseases","I69.8",10,28369,35.2 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Pneumonia, unspecified","J18.9",14,28369,49.3 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Emphysema, unspecified","J43.9",12,28369,42.3 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Chronic obstructive pulmonary disease, unspecified","J44.9",98,28369,345.4
,"Vermont","50","2004","2004","75-84 years","75-84","Other interstitial pulmonary diseases with fibrosis","J84.1",14,28369,49.3 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Urinary tract infection, site not specified","N39.0",11,28369,38.8 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Other fall on same level","W18",14,28369,49.3 (Unreliable)
,"Vermont","50","2004","2004","75-84 years","75-84","Unspecified fall","W19",10,28369,35.2 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Enterocolitis due to Clostridium difficile","A04.7",12,10749,111.6 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Septicaemia, unspecified","A41.9",11,10749,102.3 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Colon, unspecified - Malignant neoplasms","C18.9",22,10749,204.7
,"Vermont","50","2004","2004","85+ years","85+","Pancreas, unspecified - Malignant neoplasms","C25.9",12,10749,111.6 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",25,10749,232.6
,"Vermont","50","2004","2004","85+ years","85+","Breast, unspecified - Malignant neoplasms","C50.9",21,10749,195.4
,"Vermont","50","2004","2004","85+ years","85+","Malignant neoplasm of prostate","C61",19,10749,176.8 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Malignant neoplasm without specification of site","C80",10,10749,93.0 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Unspecified diabetes mellitus, without complications","E14.9",17,10749,158.2 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Unspecified dementia","F03",85,10749,790.8
,"Vermont","50","2004","2004","85+ years","85+","Parkinson disease","G20",22,10749,204.7
,"Vermont","50","2004","2004","85+ years","85+","Alzheimer disease, unspecified","G30.9",103,10749,958.2
,"Vermont","50","2004","2004","85+ years","85+","Hypertensive heart disease with (congestive) heart failure","I11.0",18,10749,167.5 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Acute myocardial infarction, unspecified","I21.9",102,10749,948.9
,"Vermont","50","2004","2004","85+ years","85+","Atherosclerotic cardiovascular disease, so described","I25.0",89,10749,828.0
,"Vermont","50","2004","2004","85+ years","85+","Atherosclerotic heart disease","I25.1",136,10749,1265.2
,"Vermont","50","2004","2004","85+ years","85+","Ischaemic cardiomyopathy","I25.5",10,10749,93.0 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Aortic (valve) stenosis","I35.0",22,10749,204.7
,"Vermont","50","2004","2004","85+ years","85+","Atrial fibrillation and flutter","I48",18,10749,167.5 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Congestive heart failure","I50.0",68,10749,632.6
,"Vermont","50","2004","2004","85+ years","85+","Stroke, not specified as haemorrhage or infarction","I64",87,10749,809.4
,"Vermont","50","2004","2004","85+ years","85+","Sequelae of stroke, not specified as haemorrhage or infarction","I69.4",11,10749,102.3 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Sequelae of other and unspecified cerebrovascular diseases","I69.8",16,10749,148.9 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Generalized and unspecified atherosclerosis","I70.9",13,10749,120.9 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Pneumonia, unspecified","J18.9",46,10749,427.9
,"Vermont","50","2004","2004","85+ years","85+","Chronic obstructive pulmonary disease, unspecified","J44.9",60,10749,558.2
,"Vermont","50","2004","2004","85+ years","85+","Pneumonitis due to food and vomit","J69.0",21,10749,195.4
,"Vermont","50","2004","2004","85+ years","85+","Other interstitial pulmonary diseases with fibrosis","J84.1",11,10749,102.3 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Gastrointestinal haemorrhage, unspecified","K92.2",11,10749,102.3 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Unspecified renal failure","N19",13,10749,120.9 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Urinary tract infection, site not specified","N39.0",10,10749,93.0 (Unreliable)
,"Vermont","50","2004","2004","85+ years","85+","Other fall on same level","W18",25,10749,232.6
,"Vermont","50","2005","2005","45-54 years","45-54","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",33,102414,32.2
,"Vermont","50","2005","2005","45-54 years","45-54","Breast, unspecified - Malignant neoplasms","C50.9",10,102414,9.8 (Unreliable)
,"Vermont","50","2005","2005","45-54 years","45-54","Atherosclerotic cardiovascular disease, so described","I25.0",27,102414,26.4
,"Vermont","50","2005","2005","55-64 years","55-64","Colon, unspecified - Malignant neoplasms","C18.9",11,74917,14.7 (Unreliable)
,"Vermont","50","2005","2005","55-64 years","55-64","Pancreas, unspecified - Malignant neoplasms","C25.9",16,74917,21.4 (Unreliable)
,"Vermont","50","2005","2005","55-64 years","55-64","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",54,74917,72.1
,"Vermont","50","2005","2005","55-64 years","55-64","Breast, unspecified - Malignant neoplasms","C50.9",17,74917,22.7 (Unreliable)
,"Vermont","50","2005","2005","55-64 years","55-64","Acute myocardial infarction, unspecified","I21.9",21,74917,28.0
,"Vermont","50","2005","2005","55-64 years","55-64","Atherosclerotic cardiovascular disease, so described","I25.0",32,74917,42.7
,"Vermont","50","2005","2005","55-64 years","55-64","Atherosclerotic heart disease","I25.1",22,74917,29.4
,"Vermont","50","2005","2005","55-64 years","55-64","Chronic obstructive pulmonary disease, unspecified","J44.9",21,74917,28.0
,"Vermont","50","2005","2005","55-64 years","55-64","Alcoholic cirrhosis of liver","K70.3",12,74917,16.0 (Unreliable)
,"Vermont","50","2005","2005","65-74 years","65-74","Colon, unspecified - Malignant neoplasms","C18.9",25,41622,60.1
,"Vermont","50","2005","2005","65-74 years","65-74","Pancreas, unspecified - Malignant neoplasms","C25.9",14,41622,33.6 (Unreliable)
,"Vermont","50","2005","2005","65-74 years","65-74","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",104,41622,249.9
,"Vermont","50","2005","2005","65-74 years","65-74","Breast, unspecified - Malignant neoplasms","C50.9",18,41622,43.2 (Unreliable)
,"Vermont","50","2005","2005","65-74 years","65-74","Malignant neoplasm of prostate","C61",11,41622,26.4 (Unreliable)
,"Vermont","50","2005","2005","65-74 years","65-74","Bladder, unspecified - Malignant neoplasms","C67.9",14,41622,33.6 (Unreliable)
,"Vermont","50","2005","2005","65-74 years","65-74","Malignant neoplasm without specification of site","C80",17,41622,40.8 (Unreliable)
,"Vermont","50","2005","2005","65-74 years","65-74","Non-Hodgkin lymphoma, unspecified type","C85.9",12,41622,28.8 (Unreliable)
,"Vermont","50","2005","2005","65-74 years","65-74","Unspecified diabetes mellitus, without complications","E14.9",23,41622,55.3
,"Vermont","50","2005","2005","65-74 years","65-74","Acute myocardial infarction, unspecified","I21.9",41,41622,98.5
,"Vermont","50","2005","2005","65-74 years","65-74","Atherosclerotic cardiovascular disease, so described","I25.0",38,41622,91.3
,"Vermont","50","2005","2005","65-74 years","65-74","Atherosclerotic heart disease","I25.1",39,41622,93.7
,"Vermont","50","2005","2005","65-74 years","65-74","Intracerebral haemorrhage, unspecified","I61.9",10,41622,24.0 (Unreliable)
,"Vermont","50","2005","2005","65-74 years","65-74","Stroke, not specified as haemorrhage or infarction","I64",11,41622,26.4 (Unreliable)
,"Vermont","50","2005","2005","65-74 years","65-74","Emphysema, unspecified","J43.9",14,41622,33.6 (Unreliable)
,"Vermont","50","2005","2005","65-74 years","65-74","Chronic obstructive pulmonary disease, unspecified","J44.9",55,41622,132.1
,"Vermont","50","2005","2005","65-74 years","65-74","Other interstitial pulmonary diseases with fibrosis","J84.1",13,41622,31.2 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Enterocolitis due to Clostridium difficile","A04.7",10,28617,34.9 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Oesophagus, unspecified - Malignant neoplasms","C15.9",12,28617,41.9 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Colon, unspecified - Malignant neoplasms","C18.9",32,28617,111.8
,"Vermont","50","2005","2005","75-84 years","75-84","Pancreas, unspecified - Malignant neoplasms","C25.9",24,28617,83.9
,"Vermont","50","2005","2005","75-84 years","75-84","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",98,28617,342.5
,"Vermont","50","2005","2005","75-84 years","75-84","Breast, unspecified - Malignant neoplasms","C50.9",16,28617,55.9 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Malignant neoplasm of prostate","C61",24,28617,83.9
,"Vermont","50","2005","2005","75-84 years","75-84","Malignant neoplasm of kidney, except renal pelvis","C64",12,28617,41.9 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Bladder, unspecified - Malignant neoplasms","C67.9",11,28617,38.4 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Malignant neoplasm without specification of site","C80",20,28617,69.9
,"Vermont","50","2005","2005","75-84 years","75-84","Non-Hodgkin lymphoma, unspecified type","C85.9",10,28617,34.9 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Multiple myeloma - Malignant neoplasms","C90.0",14,28617,48.9 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Non-insulin-dependent diabetes mellitus, without complications","E11.9",12,28617,41.9 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Unspecified diabetes mellitus, with peripheral circulatory complications","E14.5",10,28617,34.9 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Unspecified diabetes mellitus, without complications","E14.9",35,28617,122.3
,"Vermont","50","2005","2005","75-84 years","75-84","Unspecified dementia","F03",36,28617,125.8
,"Vermont","50","2005","2005","75-84 years","75-84","Parkinson disease","G20",20,28617,69.9
,"Vermont","50","2005","2005","75-84 years","75-84","Alzheimer disease, unspecified","G30.9",62,28617,216.7
,"Vermont","50","2005","2005","75-84 years","75-84","Acute myocardial infarction, unspecified","I21.9",85,28617,297.0
,"Vermont","50","2005","2005","75-84 years","75-84","Atherosclerotic cardiovascular disease, so described","I25.0",56,28617,195.7
,"Vermont","50","2005","2005","75-84 years","75-84","Atherosclerotic heart disease","I25.1",96,28617,335.5
,"Vermont","50","2005","2005","75-84 years","75-84","Ischaemic cardiomyopathy","I25.5",11,28617,38.4 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Congestive heart failure","I50.0",19,28617,66.4 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Stroke, not specified as haemorrhage or infarction","I64",46,28617,160.7
,"Vermont","50","2005","2005","75-84 years","75-84","Abdominal aortic aneurysm, ruptured","I71.3",13,28617,45.4 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Pneumonia, unspecified","J18.9",19,28617,66.4 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Emphysema, unspecified","J43.9",20,28617,69.9
,"Vermont","50","2005","2005","75-84 years","75-84","Other specified chronic obstructive pulmonary disease","J44.8",11,28617,38.4 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Chronic obstructive pulmonary disease, unspecified","J44.9",123,28617,429.8
,"Vermont","50","2005","2005","75-84 years","75-84","Pneumonitis due to food and vomit","J69.0",13,28617,45.4 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Other interstitial pulmonary diseases with fibrosis","J84.1",12,28617,41.9 (Unreliable)
,"Vermont","50","2005","2005","75-84 years","75-84","Other fall on same level","W18",11,28617,38.4 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Septicaemia, unspecified","A41.9",10,10947,91.3 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Colon, unspecified - Malignant neoplasms","C18.9",26,10947,237.5
,"Vermont","50","2005","2005","85+ years","85+","Pancreas, unspecified - Malignant neoplasms","C25.9",10,10947,91.3 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Bronchus or lung, unspecified - Malignant neoplasms","C34.9",34,10947,310.6
,"Vermont","50","2005","2005","85+ years","85+","Breast, unspecified - Malignant neoplasms","C50.9",14,10947,127.9 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Malignant neoplasm of prostate","C61",18,10947,164.4 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Bladder, unspecified - Malignant neoplasms","C67.9",11,10947,100.5 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Malignant neoplasm without specification of site","C80",14,10947,127.9 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Non-insulin-dependent diabetes mellitus, without complications","E11.9",19,10947,173.6 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Unspecified diabetes mellitus, without complications","E14.9",21,10947,191.8
,"Vermont","50","2005","2005","85+ years","85+","Unspecified dementia","F03",82,10947,749.1
,"Vermont","50","2005","2005","85+ years","85+","Parkinson disease","G20",30,10947,274.0
,"Vermont","50","2005","2005","85+ years","85+","Alzheimer disease, unspecified","G30.9",111,10947,1014.0
,"Vermont","50","2005","2005","85+ years","85+","Essential (primary) hypertension","I10",15,10947,137.0 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Hypertensive heart disease with (congestive) heart failure","I11.0",11,10947,100.5 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Hypertensive renal disease with renal failure","I12.0",11,10947,100.5 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Acute myocardial infarction, unspecified","I21.9",78,10947,712.5
,"Vermont","50","2005","2005","85+ years","85+","Atherosclerotic cardiovascular disease, so described","I25.0",91,10947,831.3
,"Vermont","50","2005","2005","85+ years","85+","Atherosclerotic heart disease","I25.1",158,10947,1443.3
,"Vermont","50","2005","2005","85+ years","85+","Ischaemic cardiomyopathy","I25.5",18,10947,164.4 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Aortic (valve) stenosis","I35.0",28,10947,255.8
,"Vermont","50","2005","2005","85+ years","85+","Cardiomyopathy, unspecified","I42.9",10,10947,91.3 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Atrial fibrillation and flutter","I48",22,10947,201.0
,"Vermont","50","2005","2005","85+ years","85+","Congestive heart failure","I50.0",51,10947,465.9
,"Vermont","50","2005","2005","85+ years","85+","Stroke, not specified as haemorrhage or infarction","I64",81,10947,739.9
,"Vermont","50","2005","2005","85+ years","85+","Sequelae of stroke, not specified as haemorrhage or infarction","I69.4",12,10947,109.6 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Sequelae of other and unspecified cerebrovascular diseases","I69.8",14,10947,127.9 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Pneumonia, unspecified","J18.9",46,10947,420.2
,"Vermont","50","2005","2005","85+ years","85+","Chronic obstructive pulmonary disease, unspecified","J44.9",92,10947,840.4
,"Vermont","50","2005","2005","85+ years","85+","Pneumonitis due to food and vomit","J69.0",21,10947,191.8
,"Vermont","50","2005","2005","85+ years","85+","Other interstitial pulmonary diseases with fibrosis","J84.1",11,10947,100.5 (Unreliable)
,"Vermont","50","2005","2005","85+ years","85+","Gastrointestinal haemorrhage, unspecified","K92.2",13,10947,118.8 (Unreliable)
