Notes,State,State Code,ICD Chapter,ICD Chapter Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
,Iowa,19,Neoplasms,C00-D48,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,41,2917634,1.4
,Iowa,19,Neoplasms,C00-D48,Endometrium - Malignant neoplasms,C54.1,48,2917634,1.6
,Iowa,19,Neoplasms,C00-D48,"Malignant neoplasm of uterus, part unspecified",C55,28,2917634,1.0
,Iowa,19,Neoplasms,C00-D48,Malignant neoplasm of ovary,C56,160,2917634,5.5
,Iowa,19,Neoplasms,C00-D48,Malignant neoplasm of prostate,C61,417,2917634,14.3
,Iowa,19,Neoplasms,C00-D48,"Malignant neoplasm of kidney, except renal pelvis",C64,151,2917634,5.2
,Iowa,19,Neoplasms,C00-D48,"Bladder, unspecified - Malignant neoplasms",C67.9,127,2917634,4.4
,Iowa,19,Neoplasms,C00-D48,"Brain, unspecified - Malignant neoplasms",C71.9,150,2917634,5.1
,Iowa,19,Neoplasms,C00-D48,Malignant neoplasm of thyroid gland,C73,18,2917634,0.6 (Unreliable)
,Iowa,19,Neoplasms,C00-D48,Abdomen - Malignant neoplasms,C76.2,12,2917634,0.4 (Unreliable)
,Iowa,19,Neoplasms,C00-D48,Secondary malignant neoplasm of lung - Malignant neoplasms,C78.0,19,2917634,0.7 (Unreliable)
,Iowa,19,Neoplasms,C00-D48,Secondary malignant neoplasm of liver - Malignant neoplasms,C78.7,22,2917634,0.8
,Iowa,19,Neoplasms,C00-D48,Secondary malignant neoplasm of other specified sites - Malignant neoplasms,C79.8,20,2917634,0.7
,Iowa,19,Neoplasms,C00-D48,Malignant neoplasm without specification of site,C80,272,2917634,9.3
,Iowa,19,Neoplasms,C00-D48,"Hodgkin disease, unspecified",C81.9,12,2917634,0.4 (Unreliable)
,Iowa,19,Neoplasms,C00-D48,Non-Hodgkin lymphoma small cell (diffuse),C83.0,10,2917634,0.3 (Unreliable)
,Iowa,19,Neoplasms,C00-D48,Non-Hodgkin lymphoma large cell (diffuse),C83.3,50,2917634,1.7
,Iowa,19,Neoplasms,C00-D48,"Non-Hodgkin lymphoma, unspecified type",C85.9,195,2917634,6.7
,Iowa,19,Neoplasms,C00-D48,Waldenstr÷m macroglobulinemia,C88.0,15,2917634,0.5 (Unreliable)
,Iowa,19,Neoplasms,C00-D48,Multiple myeloma - Malignant neoplasms,C90.0,119,2917634,4.1
,Iowa,19,Neoplasms,C00-D48,Acute lymphoblastic leukaemia - Malignant neoplasms,C91.0,17,2917634,0.6 (Unreliable)
,Iowa,19,Neoplasms,C00-D48,Chronic lymphocytic leukaemia - Malignant neoplasms,C91.1,52,2917634,1.8
,Iowa,19,Neoplasms,C00-D48,Acute myeloid leukaemia - Malignant neoplasms,C92.0,112,2917634,3.8
,Iowa,19,Neoplasms,C00-D48,Chronic myeloid leukaemia - Malignant neoplasms,C92.1,28,2917634,1.0
,Iowa,19,Neoplasms,C00-D48,Acute leukaemia of unspecified cell type - Malignant neoplasms,C95.0,19,2917634,0.7 (Unreliable)
,Iowa,19,Neoplasms,C00-D48,"Leukaemia, unspecified - Malignant neoplasms",C95.9,10,2917634,0.3 (Unreliable)
,Iowa,19,Neoplasms,C00-D48,Malignant neoplasms of independent (primary) multiple sites,C97,75,2917634,2.6
,Iowa,19,Neoplasms,C00-D48,"Brain, unspecified - Uncertain neoplasms",D43.2,19,2917634,0.7 (Unreliable)
,Iowa,19,Neoplasms,C00-D48,"Myelodysplastic syndrome, unspecified - Uncertain neoplasms",D46.9,71,2917634,2.4
,Iowa,19,Neoplasms,C00-D48,Chronic myeloproliferative disease - Uncertain neoplasms,D47.1,18,2917634,0.6 (Unreliable)
,Iowa,19,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Aplastic anaemia, unspecified",D61.9,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50-D89,"Anaemia, unspecified",D64.9,17,2917634,0.6 (Unreliable)
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Hypothyroidism, unspecified",E03.9,15,2917634,0.5 (Unreliable)
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Insulin-dependent diabetes mellitus, without complications",E10.9,87,2917634,3.0
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications",E11.5,13,2917634,0.4 (Unreliable)
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Non-insulin-dependent diabetes mellitus, without complications",E11.9,157,2917634,5.4
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, with ketoacidosis",E14.1,11,2917634,0.4 (Unreliable)
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, with renal complications",E14.2,22,2917634,0.8
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, with peripheral circulatory complications",E14.5,42,2917634,1.4
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Unspecified diabetes mellitus, without complications",E14.9,303,2917634,10.4
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,Unspecified protein-energy malnutrition,E46,24,2917634,0.8
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Obesity, unspecified",E66.9,15,2917634,0.5 (Unreliable)
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,Pure hypercholesterolaemia,E78.0,17,2917634,0.6 (Unreliable)
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Hyperlipidaemia, unspecified",E78.5,35,2917634,1.2
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Amyloidosis, unspecified",E85.9,12,2917634,0.4 (Unreliable)
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,Volume depletion,E86,55,2917634,1.9
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,Hyperosmolality and hypernatraemia,E87.0,10,2917634,0.3 (Unreliable)
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,Acidosis,E87.2,11,2917634,0.4 (Unreliable)
,Iowa,19,"Endocrine, nutritional and metabolic diseases",E00-E88,"Other disorders of electrolyte and fluid balance, not elsewhere classified",E87.8,19,2917634,0.7 (Unreliable)
,Iowa,19,Mental and behavioural disorders,F01-F99,Unspecified dementia,F03,372,2917634,12.8
,Iowa,19,Mental and behavioural disorders,F01-F99,Unspecified mental disorder due to brain damage and dysfunction and to physical disease,F06.9,51,2917634,1.7
,Iowa,19,Mental and behavioural disorders,F01-F99,"Mental and behavioural disorders due to use of alcohol, dependence syndrome",F10.2,21,2917634,0.7
,Iowa,19,Mental and behavioural disorders,F01-F99,"Depressive episode, unspecified",F32.9,26,2917634,0.9
,Iowa,19,Diseases of the nervous system,G00-G98,Huntington disease,G10,15,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the nervous system,G00-G98,Motor neuron disease,G12.2,61,2917634,2.1
,Iowa,19,Diseases of the nervous system,G00-G98,Parkinson disease,G20,197,2917634,6.8
,Iowa,19,Diseases of the nervous system,G00-G98,Alzheimer disease with late onset,G30.1,31,2917634,1.1
,Iowa,19,Diseases of the nervous system,G00-G98,"Alzheimer disease, unspecified",G30.9,674,2917634,23.1
,Iowa,19,Diseases of the nervous system,G00-G98,"Degenerative disease of nervous system, unspecified",G31.9,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the nervous system,G00-G98,Multiple sclerosis,G35,34,2917634,1.2
,Iowa,19,Diseases of the nervous system,G00-G98,"Epilepsy, unspecified",G40.9,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the nervous system,G00-G98,"Infantile cerebral palsy, unspecified",G80.9,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the nervous system,G00-G98,"Anoxic brain damage, not elsewhere classified",G93.1,21,2917634,0.7
,Iowa,19,Diseases of the circulatory system,I00-I99,"Mitral valve disease, unspecified",I05.9,17,2917634,0.6 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,Disorders of both mitral and aortic valves,I08.0,16,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,Essential (primary) hypertension,I10,66,2917634,2.3
,Iowa,19,Diseases of the circulatory system,I00-I99,Hypertensive heart disease with (congestive) heart failure,I11.0,106,2917634,3.6
,Iowa,19,Diseases of the circulatory system,I00-I99,Hypertensive heart disease without (congestive) heart failure,I11.9,133,2917634,4.6
,Iowa,19,Diseases of the circulatory system,I00-I99,Hypertensive renal disease with renal failure,I12.0,100,2917634,3.4
,Iowa,19,Diseases of the circulatory system,I00-I99,Hypertensive renal disease without renal failure,I12.9,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure,I13.2,23,2917634,0.8
,Iowa,19,Diseases of the circulatory system,I00-I99,"Acute myocardial infarction, unspecified",I21.9,2604,2917634,89.3
,Iowa,19,Diseases of the circulatory system,I00-I99,"Atherosclerotic cardiovascular disease, so described",I25.0,1314,2917634,45.0
,Iowa,19,Diseases of the circulatory system,I00-I99,Atherosclerotic heart disease,I25.1,2777,2917634,95.2
,Iowa,19,Diseases of the circulatory system,I00-I99,Ischaemic cardiomyopathy,I25.5,144,2917634,4.9
,Iowa,19,Diseases of the circulatory system,I00-I99,Other forms of chronic ischaemic heart disease,I25.8,18,2917634,0.6 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,"Chronic ischaemic heart disease, unspecified",I25.9,144,2917634,4.9
,Iowa,19,Diseases of the circulatory system,I00-I99,Pulmonary embolism without mention of acute cor pulmonale,I26.9,112,2917634,3.8
,Iowa,19,Diseases of the circulatory system,I00-I99,Primary pulmonary hypertension,I27.0,27,2917634,0.9
,Iowa,19,Diseases of the circulatory system,I00-I99,"Pulmonary heart disease, unspecified",I27.9,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,Acute and subacute infective endocarditis,I33.0,12,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,Mitral (valve) insufficiency,I34.0,48,2917634,1.6
,Iowa,19,Diseases of the circulatory system,I00-I99,Aortic (valve) stenosis,I35.0,145,2917634,5.0
,Iowa,19,Diseases of the circulatory system,I00-I99,Aortic (valve) insufficiency,I35.1,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,"Aortic valve disorder, unspecified",I35.9,18,2917634,0.6 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,"Endocarditis, valve unspecified",I38,48,2917634,1.6
,Iowa,19,Diseases of the circulatory system,I00-I99,Dilated cardiomyopathy,I42.0,72,2917634,2.5
,Iowa,19,Diseases of the circulatory system,I00-I99,"Cardiomyopathy, unspecified",I42.9,162,2917634,5.6
,Iowa,19,Diseases of the circulatory system,I00-I99,"Sudden cardiac death, so described",I46.1,37,2917634,1.3
,Iowa,19,Diseases of the circulatory system,I00-I99,"Cardiac arrest, unspecified",I46.9,84,2917634,2.9
,Iowa,19,Diseases of the circulatory system,I00-I99,Atrial fibrillation and flutter,I48,95,2917634,3.3
,Iowa,19,Diseases of the circulatory system,I00-I99,Ventricular fibrillation and flutter,I49.0,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,Sick sinus syndrome,I49.5,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,"Cardiac arrhythmia, unspecified",I49.9,51,2917634,1.7
,Iowa,19,Diseases of the circulatory system,I00-I99,Congestive heart failure,I50.0,242,2917634,8.3
,Iowa,19,Diseases of the circulatory system,I00-I99,"Heart failure, unspecified",I50.9,36,2917634,1.2
,Iowa,19,Diseases of the circulatory system,I00-I99,"Cardiovascular disease, unspecified",I51.6,25,2917634,0.9
,Iowa,19,Diseases of the circulatory system,I00-I99,Cardiomegaly,I51.7,15,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,Other ill-defined heart diseases,I51.8,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,"Heart disease, unspecified",I51.9,12,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,"Subarachnoid haemorrhage, unspecified",I60.9,71,2917634,2.4
,Iowa,19,Diseases of the circulatory system,I00-I99,Intracerebral haemorrhage in cerebellum,I61.4,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,"Intracerebral haemorrhage, unspecified",I61.9,216,2917634,7.4
,Iowa,19,Diseases of the circulatory system,I00-I99,"Intracranial haemorrhage (nontraumatic), unspecified",I62.9,46,2917634,1.6
,Iowa,19,Diseases of the circulatory system,I00-I99,Cerebral infarction due to thrombosis of cerebral arteries,I63.3,61,2917634,2.1
,Iowa,19,Diseases of the circulatory system,I00-I99,Cerebral infarction due to embolism of cerebral arteries,I63.4,14,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,"Cerebral infarction, unspecified",I63.9,122,2917634,4.2
,Iowa,19,Diseases of the circulatory system,I00-I99,"Stroke, not specified as haemorrhage or infarction",I64,1412,2917634,48.4
,Iowa,19,Diseases of the circulatory system,I00-I99,Cerebral atherosclerosis,I67.2,16,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,Other specified cerebrovascular diseases,I67.8,20,2917634,0.7
,Iowa,19,Diseases of the circulatory system,I00-I99,"Cerebrovascular disease, unspecified",I67.9,44,2917634,1.5
,Iowa,19,Diseases of the circulatory system,I00-I99,"Sequelae of stroke, not specified as haemorrhage or infarction",I69.4,116,2917634,4.0
,Iowa,19,Diseases of the circulatory system,I00-I99,Sequelae of other and unspecified cerebrovascular diseases,I69.8,97,2917634,3.3
,Iowa,19,Diseases of the circulatory system,I00-I99,Atherosclerosis of arteries of extremities,I70.2,17,2917634,0.6 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,Generalized and unspecified atherosclerosis,I70.9,308,2917634,10.6
,Iowa,19,Diseases of the circulatory system,I00-I99,Dissection of aorta [any part],I71.0,43,2917634,1.5
,Iowa,19,Diseases of the circulatory system,I00-I99,"Thoracic aortic aneurysm, ruptured",I71.1,30,2917634,1.0
,Iowa,19,Diseases of the circulatory system,I00-I99,"Thoracic aortic aneurysm, without mention of rupture",I71.2,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,"Abdominal aortic aneurysm, ruptured",I71.3,86,2917634,2.9
,Iowa,19,Diseases of the circulatory system,I00-I99,"Abdominal aortic aneurysm, without mention of rupture",I71.4,30,2917634,1.0
,Iowa,19,Diseases of the circulatory system,I00-I99,"Aortic aneurysm of unspecified site, ruptured",I71.8,28,2917634,1.0
,Iowa,19,Diseases of the circulatory system,I00-I99,"Peripheral vascular disease, unspecified",I73.9,75,2917634,2.6
,Iowa,19,Diseases of the circulatory system,I00-I99,Embolism and thrombosis of unspecified artery,I74.9,12,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the circulatory system,I00-I99,Phlebitis and thrombophlebitis of other deep vessels of lower extremities,I80.2,17,2917634,0.6 (Unreliable)
,Iowa,19,Diseases of the respiratory system,J00-J98,"Influenza with pneumonia, virus not identified",J11.0,26,2917634,0.9
,Iowa,19,Diseases of the respiratory system,J00-J98,"Influenza with other respiratory manifestations, virus not identified",J11.1,28,2917634,1.0
,Iowa,19,Diseases of the respiratory system,J00-J98,Pneumonia due to Streptococcus pneumoniae,J13,17,2917634,0.6 (Unreliable)
,Iowa,19,Diseases of the respiratory system,J00-J98,"Bacterial pneumonia, unspecified",J15.9,14,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the respiratory system,J00-J98,"Bronchopneumonia, unspecified",J18.0,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the respiratory system,J00-J98,"Pneumonia, unspecified",J18.9,949,2917634,32.5
,Iowa,19,Diseases of the respiratory system,J00-J98,"Emphysema, unspecified",J43.9,170,2917634,5.8
,Iowa,19,Diseases of the respiratory system,J00-J98,Other specified chronic obstructive pulmonary disease,J44.8,57,2917634,2.0
,Iowa,19,Diseases of the respiratory system,J00-J98,"Chronic obstructive pulmonary disease, unspecified",J44.9,1328,2917634,45.5
,Iowa,19,Diseases of the respiratory system,J00-J98,"Asthma, unspecified",J45.9,47,2917634,1.6
,Iowa,19,Diseases of the respiratory system,J00-J98,Bronchiectasis,J47,15,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the respiratory system,J00-J98,Pneumonitis due to food and vomit,J69.0,221,2917634,7.6
,Iowa,19,Diseases of the respiratory system,J00-J98,Pulmonary oedema,J81,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the respiratory system,J00-J98,Other interstitial pulmonary diseases with fibrosis,J84.1,126,2917634,4.3
,Iowa,19,Diseases of the respiratory system,J00-J98,"Interstitial pulmonary disease, unspecified",J84.9,17,2917634,0.6 (Unreliable)
,Iowa,19,Diseases of the respiratory system,J00-J98,"Respiratory failure, unspecified",J96.9,25,2917634,0.9
,Iowa,19,Diseases of the respiratory system,J00-J98,Other disorders of lung,J98.4,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the respiratory system,J00-J98,Other specified respiratory disorders,J98.8,16,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,Gastro-oesophageal reflux disease without oesophagitis,K21.9,16,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,"Gastric ulcer, chronic or unspecified with haemorrhage",K25.4,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,"Duodenal ulcer, chronic or unspecified with haemorrhage",K26.4,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,"Duodenal ulcer, chronic or unspecified with perforation",K26.5,14,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage",K27.4,16,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,"Noninfective gastroenteritis and colitis, unspecified",K52.9,16,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,Acute vascular disorders of intestine,K55.0,53,2917634,1.8
,Iowa,19,Diseases of the digestive system,K00-K92,"Vascular disorder of intestine, unspecified",K55.9,39,2917634,1.3
,Iowa,19,Diseases of the digestive system,K00-K92,Volvulus,K56.2,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,Other and unspecified intestinal obstruction,K56.6,55,2917634,1.9
,Iowa,19,Diseases of the digestive system,K00-K92,Diverticular disease of large intestine with perforation and abscess,K57.2,12,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,"Diverticular disease of intestine, part unspecified, with perforation and abscess",K57.8,22,2917634,0.8
,Iowa,19,Diseases of the digestive system,K00-K92,"Diverticular disease of intestine, part unspecified, without perforation or abscess",K57.9,27,2917634,0.9
,Iowa,19,Diseases of the digestive system,K00-K92,Perforation of intestine (nontraumatic),K63.1,21,2917634,0.7
,Iowa,19,Diseases of the digestive system,K00-K92,Acute peritonitis,K65.0,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,Alcoholic fatty liver,K70.0,19,2917634,0.7 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,Alcoholic cirrhosis of liver,K70.3,48,2917634,1.6
,Iowa,19,Diseases of the digestive system,K00-K92,Alcoholic hepatic failure,K70.4,15,2917634,0.5 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,"Alcoholic liver disease, unspecified",K70.9,10,2917634,0.3 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,"Hepatic failure, unspecified",K72.9,24,2917634,0.8
,Iowa,19,Diseases of the digestive system,K00-K92,Primary biliary cirrhosis,K74.3,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,Other and unspecified cirrhosis of liver,K74.6,94,2917634,3.2
,Iowa,19,Diseases of the digestive system,K00-K92,Acute cholecystitis,K81.0,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the digestive system,K00-K92,Acute pancreatitis,K85,28,2917634,1.0
,Iowa,19,Diseases of the digestive system,K00-K92,"Gastrointestinal haemorrhage, unspecified",K92.2,97,2917634,3.3
,Iowa,19,Diseases of the musculoskeletal system and connective tissue,M00-M99,"Rheumatoid arthritis, unspecified",M06.9,34,2917634,1.2
,Iowa,19,Diseases of the musculoskeletal system and connective tissue,M00-M99,Unspecified osteoporosis with pathological fracture,M80.9,25,2917634,0.9
,Iowa,19,Diseases of the musculoskeletal system and connective tissue,M00-M99,"Osteoporosis, unspecified",M81.9,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the musculoskeletal system and connective tissue,M00-M99,"Osteomyelitis, unspecified",M86.9,11,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the genitourinary system,N00-N98,"Tubulo-interstitial nephritis, not specified as acute or chronic",N12,12,2917634,0.4 (Unreliable)
,Iowa,19,Diseases of the genitourinary system,N00-N98,"Acute renal failure, unspecified",N17.9,26,2917634,0.9
,Iowa,19,Diseases of the genitourinary system,N00-N98,End-stage renal disease,N18.0,30,2917634,1.0
,Iowa,19,Diseases of the genitourinary system,N00-N98,"Chronic renal failure, unspecified",N18.9,39,2917634,1.3
,Iowa,19,Diseases of the genitourinary system,N00-N98,Unspecified renal failure,N19,108,2917634,3.7
,Iowa,19,Diseases of the genitourinary system,N00-N98,"Urinary tract infection, site not specified",N39.0,166,2917634,5.7
,Iowa,19,Diseases of the genitourinary system,N00-N98,Hyperplasia of prostate,N40,15,2917634,0.5 (Unreliable)
,Iowa,19,Certain conditions originating in the perinatal period,P00-P96,Extreme immaturity,P07.2,17,2917634,0.6 (Unreliable)
,Iowa,19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,"Polycystic kidney, unspecified",Q61.3,11,2917634,0.4 (Unreliable)
,Iowa,19,"Congenital malformations, deformations and chromosomal abnormalities",Q00-Q99,"Down syndrome, unspecified",Q90.9,10,2917634,0.3 (Unreliable)
,Iowa,19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,Malaise and fatigue,R53,29,2917634,1.0
,Iowa,19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,Senility,R54,61,2917634,2.1
,Iowa,19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,Other and unspecified convulsions,R56.8,10,2917634,0.3 (Unreliable)
,Iowa,19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,Sudden infant death syndrome - SIDS,R95,42,2917634,1.4
,Iowa,19,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R99,Other ill-defined and unspecified causes of mortality,R99,86,2917634,2.9
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Pedestrian injured in collision with car, pick-up truck or van, traffic accident",V03.1,19,2917634,0.7 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Motorcycle rider injured in collision with car, pick-up truck or van, driver injured in traffic accident",V23.4,11,2917634,0.4 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Car occupant injured in collision with car, pick-up truck or van, driver injured in traffic accident",V43.5,80,2917634,2.7
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Car occupant injured in collision with car, pick-up truck or van, passenger injured in traffic accident",V43.6,34,2917634,1.2
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Car occupant injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",V44.5,38,2917634,1.3
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Car occupant injured in collision with heavy transport vehicle or bus, passenger injured in traffic accident",V44.6,14,2917634,0.5 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Car occupant injured in collision with fixed or stationary object, driver injured in traffic accident",V47.5,31,2917634,1.1
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Car occupant injured in noncollision transport accident, driver injured in traffic accident",V48.5,25,2917634,0.9
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Car occupant injured in noncollision transport accident, passenger injured in traffic accident",V48.6,17,2917634,0.6 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van, driver injured in traffic accident",V53.5,20,2917634,0.7
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus, driver injured in traffic accident",V54.5,25,2917634,0.9
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Occupant of pick-up truck or van injured in noncollision transport accident, driver injured in traffic accident",V58.5,16,2917634,0.5 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Occupant of pick-up truck or van injured in noncollision transport accident, passenger injured in traffic accident",V58.6,12,2917634,0.4 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Unspecified occupant of special agricultural vehicle injured in nontraffic accident,V84.9,15,2917634,0.5 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Person injured in unspecified motor-vehicle accident, traffic",V89.2,32,2917634,1.1
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Fall on same level from slipping, tripping and stumbling",W01,15,2917634,0.5 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Fall on and from stairs and steps,W10,20,2917634,0.7
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Unspecified fall,W19,143,2917634,4.9
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Struck by thrown, projected or falling object",W20,13,2917634,0.4 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Explosion of other materials,W40,10,2917634,0.3 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Unspecified drowning and submersion,W74,11,2917634,0.4 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Inhalation and ingestion of food causing obstruction of respiratory tract,W79,10,2917634,0.3 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Inhalation and ingestion of other objects causing obstruction of respiratory tract,W80,27,2917634,0.9
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Exposure to uncontrolled fire in building or structure,X00,34,2917634,1.2
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X44,10,2917634,0.3 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Lack of food,X53,10,2917634,0.3 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Exposure to unspecified factor,X59,100,2917634,3.4
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances",X64,11,2917634,0.4 (Unreliable)
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Intentional self-poisoning by and exposure to other gases and vapours,X67,37,2917634,1.3
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Intentional self-harm by hanging, strangulation and suffocation",X70,66,2917634,2.3
,Iowa,19,External causes of morbidity and mortality,V01-Y89,Intentional self-harm by handgun discharge,X72,48,2917634,1.6
,Iowa,19,External causes of morbidity and mortality,V01-Y89,"Intentional self-harm by rifle, shotgun and larger firearm discharge",X73,79,2917634,2.7
