JCAT	Piece	Name	LaunchDate	LState	Owner	OwnState	UNState	Mass	Class	Category	TF	Perigee	Apogee	Inc	OpOrbit
S45436	2020-020N	OneWeb SL0095	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     440	     469	 87.40 	LLEO/P
S45437	2020-020P	OneWeb SL0092	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     441	     469	 87.40 	LLEO/P
S45438	2020-020Q	OneWeb SL0085	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     441	     470	 87.40 	LLEO/P
S45439	2020-020R	OneWeb SL0096	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     441	     470	 87.40 	LLEO/P
S45440	2020-020S	OneWeb SL0037	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     441	     471	 87.40 	LLEO/P
S45441	2020-020T	OneWeb SL0042	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     442	     471	 87.40 	LLEO/P
S45442	2020-020U	OneWeb SL0098	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     441	     473	 87.40 	LLEO/P
S45443	2020-020V	OneWeb SL0055	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     441	     474	 87.40 	LLEO/P
S45444	2020-020W	OneWeb SL0093	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     441	     475	 87.40 	LLEO/P
S45445	2020-020X	OneWeb SL0029	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     441	     475	 87.40 	LLEO/P
S45446	2020-020Y	OneWeb SL0068	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     441	     476	 87.40 	LLEO/P
S45447	2020-020Z	OneWeb SL0046	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     442	     477	 87.40 	LLEO/P
S45448	2020-020AA	OneWeb SL0063	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     442	     477	 87.40 	LLEO/P
S45449	2020-020AB	OneWeb SL0019	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     442	     477	 87.40 	LLEO/P
S45450	2020-020AC	OneWeb SL0094	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     443	     478	 87.40 	LLEO/P
S45451	2020-020AD	OneWeb SL0087	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     444	     478	 87.40 	LLEO/P
S45452	2020-020AE	OneWeb SL0082	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     445	     478	 87.40 	LLEO/P
S45453	2020-020AF	OneWeb SL0050	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     446	     478	 87.40 	LLEO/P
S45454	2020-020AG	OneWeb SL0034	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     446	     478	 87.40 	LLEO/P
S45455	2020-020AH	OneWeb SL0060	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     447	     478	 87.40 	LLEO/P
S45456	2020-020AJ	OneWeb SL0086	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     448	     478	 87.40 	LLEO/P
S45457	2020-020AK	OneWeb SL0088	2020 Mar 21 1706:58	F	ONEWEB	UK	UK	     148.000 	B	COM	-	     448	     478	 87.40 	LLEO/P
S45460	2020-021A	Yaogan 30 hao 06 zu 01 xing	2020 Mar 24 0343:05	CN	ZLZB	CN	CN	     500.000 	D	SIG	-	     590	     602	 35.00 	LLEO/I
S45461	2020-021B	Yaogan 30 hao 06 zu 02 xing	2020 Mar 24 0343:05	CN	ZLZB	CN	CN	     500.000 	D	SIG	-	     590	     602	 35.00 	LLEO/I
S45462	2020-021C	Yaogan 30 hao 06 zu 03 xing	2020 Mar 24 0343:05	CN	ZLZB	CN	CN	     500.000 	D	SIG	-	     590	     602	 35.00 	LLEO/I
S45465	2020-022B	AEHF SV-6	2020 Mar 26 2018:00	US	AFMCSW	US	US	    6200.000 	D	COM	-	   25845	   35301	  9.56 	MEO
S45531	2020-025A	Starlink 1329	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     229	     354	 53.01 	LLEO/I
S45532	2020-025B	Starlink 1338	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     229	     355	 53.00 	LLEO/I
S45535	2020-025E	Starlink 1350	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     229	     355	 53.01 	LLEO/I
S45538	2020-025H	Starlink 1362	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     229	     354	 53.01 	LLEO/I
S45540	2020-025K	Starlink 1368	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     230	     355	 53.00 	LLEO/I
S45542	2020-025M	Starlink 1371	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     229	     355	 53.00 	LLEO/I
S45543	2020-025N	Starlink 1372	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     231	     355	 53.01 	LLEO/I
S45544	2020-025P	Starlink 1373	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     229	     355	 53.00 	LLEO/I
S45551	2020-025W	Starlink 1294	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45553	2020-025Y	Starlink 1323	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45554	2020-025Z	Starlink 1325	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45555	2020-025AA	Starlink 1327	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45557	2020-025AC	Starlink 1336	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45558	2020-025AD	Starlink 1342	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45563	2020-025AJ	Starlink 1355	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45564	2020-025AK	Starlink 1356	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45565	2020-025AL	Starlink 1357	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45567	2020-025AN	Starlink 1361	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     359	 53.01 	LLEO/I
S45568	2020-025AP	Starlink 1363	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45569	2020-025AQ	Starlink 1366	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     359	 53.01 	LLEO/I
S45570	2020-025AR	Starlink 1376	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45572	2020-025AT	Starlink 1320	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45573	2020-025AU	Starlink 1321	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45576	2020-025AX	Starlink 1328	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45578	2020-025AZ	Starlink 1331	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45580	2020-025BB	Starlink 1333	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45581	2020-025BC	Starlink 1335	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45582	2020-025BD	Starlink 1337	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45586	2020-025BH	Starlink 1347	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45587	2020-025BJ	Starlink 1349	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45588	2020-025BK	Starlink 1360	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     359	 53.01 	LLEO/I
S45589	2020-025BL	Starlink 1364	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     358	 53.01 	LLEO/I
S45590	2020-025BM	Starlink 1365	2020 Apr 22 1930	US	SPXS	US	US	     260.000 	B	COM	-	     211	     359	 53.01 	LLEO/I
S45602	2020-028A	Xingyun-2 01 xing	2020 May 12 0116	CN	XYUN	CN	CN	      93.000 	B	COM	-	     556	     572	 97.55 	LLEO/S
S45603	2020-028B	Xingyun-2 02 xing	2020 May 12 0116	CN	XYUN	CN	CN	      93.000 	B	COM	-	     556	     572	 97.55 	LLEO/S
S45608	2020-031A	Kosmos-2546	2020 May 22 0731:17	RU	VVKOV	RU	RU	    2550.000 	D	EW	-	    1659	   38503	 63.82 	HEO/M
S45625	2020-034B	Gao Fen 9-02	2020 May 31 0853	CN	CNSAS	CN	CN	    1700.000 	D	IMG	-	     485	     501	 97.29 	LLEO/S
S45660	2020-035D	Starlink 1443	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     294	     365	 53.00 	LLEO/I
S45663	2020-035G	Starlink 1446	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     293	     364	 53.00 	LLEO/I
S45665	2020-035J	Starlink 1448	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     294	     365	 53.00 	LLEO/I
S45668	2020-035M	Starlink 1451	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     293	     365	 53.00 	LLEO/I
S45669	2020-035N	Starlink 1452	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     298	     358	 53.00 	LLEO/I
S45670	2020-035P	Starlink 1453	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     244	     359	 53.00 	LLEO/I
S45671	2020-035Q	Starlink 1454	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     293	     364	 53.00 	LLEO/I
S45673	2020-035S	Starlink 1456	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     293	     364	 53.00 	LLEO/I
S45674	2020-035T	Starlink 1457	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     293	     365	 53.00 	LLEO/I
S45675	2020-035U	Starlink 1458	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     292	     365	 53.00 	LLEO/I
S45676	2020-035V	Starlink 1460	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     292	     364	 53.00 	LLEO/I
S45677	2020-035W	Starlink 1392	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     286	     364	 53.00 	LLEO/I
S45679	2020-035Y	Starlink 1394	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     289	     364	 53.00 	LLEO/I
S45685	2020-035AE	Starlink 1402	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     290	     365	 53.00 	LLEO/I
S45686	2020-035AF	Starlink 1404	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     291	     364	 53.00 	LLEO/I
S45689	2020-035AJ	Starlink 1413	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     287	     365	 53.00 	LLEO/I
S45693	2020-035AN	Starlink 1417	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     287	     364	 53.00 	LLEO/I
S45695	2020-035AQ	Starlink 1420	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     288	     365	 53.00 	LLEO/I
S45696	2020-035AR	Starlink 1422	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     291	     365	 53.00 	LLEO/I
S45697	2020-035AS	Starlink 1351	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     289	     366	 53.00 	LLEO/I
S45699	2020-035AU	Starlink 1398	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     293	     362	 53.00 	LLEO/I
S45700	2020-035AV	Starlink 1400	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     291	     365	 53.00 	LLEO/I
S45701	2020-035AW	Starlink 1403	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     291	     366	 53.00 	LLEO/I
S45703	2020-035AY	Starlink 1407	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     292	     365	 53.00 	LLEO/I
S45706	2020-035BB	Starlink 1411	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     292	     367	 53.00 	LLEO/I
S45710	2020-035BF	Starlink 1423	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     291	     365	 53.00 	LLEO/I
S45711	2020-035BG	Starlink 1433	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     293	     365	 53.00 	LLEO/I
S45712	2020-035BH	Starlink 1434	2020 Jun  4 0125:33	US	SPXS	US	US	     260.000 	B	COM	-	     239	     359	 53.00 	LLEO/I
S45721	2020-036A	Hai Yang 1-04	2020 Jun 10 1831:24	CN	GYZ/CASC	CN	CN	     442.000 	C	IMG	-	     770	     785	 98.44 	LEO/S
S45723	2020-037A	USA 301	2020 Jun 13 0512:12	NZ	NROC	US	US	      50.000 	D	SIG?*	-	     585	     600	 97.70 	LLEO/S
S45724	2020-037B	USA 302	2020 Jun 13 0512:12	NZ	NROC	US	US	      50.000 	D	SIG?*	-	     585	     600	 97.70 	LLEO/S
S45725	2020-037C	USA 303	2020 Jun 13 0512:12	NZ	NROC	US	US	      50.000 	D	SIG?*	-	     585	     600	 97.70 	LLEO/S
S45727	2020-037E	RAAF M2 Pathfinder	2020 Jun 13 0512:12	NZ	RAAF/UNSW	AU	AU	       4.000 	D	COM*	-	     586	     602	 97.70 	LLEO/S
S45731	2020-038B	Starlink 1465	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     257	     362	 53.00 	LLEO/I
S45735	2020-038F	Starlink 1471	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     255	     362	 53.00 	LLEO/I
S45738	2020-038J	Starlink 1474	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     257	     362	 53.00 	LLEO/I
S45739	2020-038K	Starlink 1475	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     256	     361	 53.00 	LLEO/I
S45741	2020-038M	Starlink 1480	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     257	     361	 53.00 	LLEO/I
S45744	2020-038Q	Starlink 1500	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     256	     361	 53.00 	LLEO/I
S45746	2020-038S	Starlink 1504	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     256	     362	 53.00 	LLEO/I
S45747	2020-038T	Starlink 1506	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     256	     362	 53.00 	LLEO/I
S45751	2020-038X	Starlink 1464	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     221	     357	 53.00 	LLEO/I
S45753	2020-038Z	Starlink 1476	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     248	     357	 53.00 	LLEO/I
S45754	2020-038AA	Starlink 1477	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     248	     357	 53.00 	LLEO/I
S45755	2020-038AB	Starlink 1478	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     218	     359	 53.00 	LLEO/I
S45759	2020-038AF	Starlink 1493	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     248	     357	 53.00 	LLEO/I
S45760	2020-038AG	Starlink 1494	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     221	     358	 53.00 	LLEO/I
S45764	2020-038AL	Starlink 1502	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     218	     357	 53.00 	LLEO/I
S45772	2020-038AU	Starlink 1470	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     219	     358	 53.00 	LLEO/I
S45773	2020-038AV	Starlink 1482	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     219	     357	 53.00 	LLEO/I
S45774	2020-038AW	Starlink 1485	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     218	     359	 53.00 	LLEO/I
S45780	2020-038BC	Starlink 1496	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     216	     357	 53.00 	LLEO/I
S45781	2020-038BD	Starlink 1497	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     225	     355	 53.00 	LLEO/I
S45784	2020-038BG	Starlink 1510	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     217	     357	 53.00 	LLEO/I
S45786	2020-038BJ	Starlink 1513	2020 Jun 13 0921:18	US	SPXS	US	US	     260.000 	B	COM	-	     218	     358	 53.00 	LLEO/I
S45794	2020-039A	Gao Fen 9-03	2020 Jun 17 0719:04	CN	CNSAS	CN	CN	    1700.000 	D	IMG	-	     486	     503	 97.32 	LLEO/S
S45807	2020-040A	Beidou DW 55	2020 Jun 23 0143:04	CN	CNSA	CN	CN	    3060.000 	D	NAV	-	   35763	   35809	  3.08 	GEO/I
S45854	2020-041A	GPS III SV03	2020 Jun 30 2010:46	US	SMC	US	US	    4400.000 	D	NAV	-	   20164	   20198	 55.06 	MEO
S45856	2020-042A	Gao Fen Duomo Weixing	2020 Jul  3 0310	CN	ZLZB	CN	CN	    2400.000 	D	IMG	-	     630	     648	 98.02 	LEO/S
S45860	2020-044A	'Ofeq-16	2020 Jul  6 0100	IL	DDRD/U9900	IL	[IL]	     300.000 	D	IMG	-	     329	     602	140.64 	LLEO/R
S45863	2020-045A	Apstar 6D	2020 Jul  9 1211:04	CN	APTS	CN	CN	    5000.000 	B	COM	-	   35784	   35884	  0.10 	GEO/D
S45873	2020-046A	USA 305	2020 Jul 15 1346:00	US	NROC	US	US	     250.000 	D	SIG?*	-	     569	     580	 54.00 	LLEO/I
S45874	2020-046B	USA 306	2020 Jul 15 1346:00	US	NROC	US	US	     250.000 	D	SIG?*	-	     569	     580	 54.00 	LLEO/I
S45875	2020-046C	USA 307	2020 Jul 15 1346:00	US	NROC	US	US	     250.000 	D	SIG?*	-	     572	     579	 54.00 	LLEO/I
S45876	2020-046D	USA 308	2020 Jul 15 1346:00	US	NROC	US	US	     250.000 	D	SIG?*	-	     572	     579	 54.00 	LLEO/I
S45918	2020-047A	Misabar Al'Amal	2020 Jul 19 2158:14	J	MBRSC	UAE	UAE	    1350.000 	C	PLAN	-	     181	  -72833	 30.24 	EEO
S45920	2020-048A	ANASIS-II	2020 Jul 20 2130	US	ADD/DAPA	KR	KR	    5600.000 	D	COM	-	   35904	   36025	  0.02 	GEO/D
S45939	2020-051A	Zi Yuan 3-03	2020 Jul 25 0313	CN	GCDX/ZZWYZ	CN	CN	    2400.000 	C	IMG	-	     485	     498	 97.50 	LLEO/S
S45983	2020-052A	Perseverance	2020 Jul 30 1150:00	US	JPL	US	US	    3965.000 	C	PLAN	-	     208	  -68003	 27.58 	EEO
S45985	2020-053A	Ekspress-103	2020 Jul 30 2125:19	RU	KS	RU	RU	    2280.000 	B	COM	-	   35781	   35792	  0.06 	GEO/S
S45986	2020-053B	Ekspress-80	2020 Jul 30 2125:19	RU	KS	RU	RU	    2110.000 	B	COM	-	   35777	   35794	  0.07 	GEO/S
S46025	2020-054A	Gao Fen 9-04	2020 Aug  6 0401	CN	CNSAS	CN	CN	    1700.000 	D	IMG	-	     485	     505	 97.47 	LLEO/S
S46027	2020-055A	Starlink 1522	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     415	     422	 53.01 	LLEO/I
S46028	2020-055B	Starlink 1523	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     404	     415	 53.01 	LLEO/I
S46029	2020-055C	Starlink 1526	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     402	     414	 53.01 	LLEO/I
S46032	2020-055F	Starlink 1555	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     416	     418	 53.01 	LLEO/I
S46033	2020-055G	Starlink 1556	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     411	     416	 53.01 	LLEO/I
S46034	2020-055H	Starlink 1557	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     414	     415	 53.01 	LLEO/I
S46035	2020-055J	Starlink 1558	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     415	     416	 53.01 	LLEO/I
S46036	2020-055K	Starlink 1560	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     411	     413	 53.01 	LLEO/I
S46038	2020-055M	Starlink 1567	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     412	     418	 53.01 	LLEO/I
S46039	2020-055N	Starlink 1569	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     415	     417	 53.01 	LLEO/I
S46043	2020-055S	Starlink 1582	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     417	     419	 53.01 	LLEO/I
S46045	2020-055U	Starlink 1591	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     409	     410	 53.01 	LLEO/I
S46047	2020-055W	Starlink 1524	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46048	2020-055X	Starlink 1527	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46051	2020-055AA	Starlink 1540	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46052	2020-055AB	Starlink 1541	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46053	2020-055AC	Starlink 1543	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46054	2020-055AD	Starlink 1548	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46055	2020-055AE	Starlink 1554	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46058	2020-055AH	Starlink 1564	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46059	2020-055AJ	Starlink 1570	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46060	2020-055AK	Starlink 1572	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46061	2020-055AL	Starlink 1573	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46063	2020-055AN	Starlink 1577	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46064	2020-055AP	Starlink 1583	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46066	2020-055AR	Starlink 1525	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46070	2020-055AV	Starlink 1536	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46073	2020-055AY	Starlink 1542	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46074	2020-055AZ	Starlink 1549	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46075	2020-055BA	Starlink 1551	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46076	2020-055BB	Starlink 1552	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46077	2020-055BC	Starlink 1559	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46079	2020-055BE	Starlink 1566	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46080	2020-055BF	Starlink 1568	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46082	2020-055BH	Starlink 1578	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46083	2020-055BJ	Starlink 1579	2020 Aug  7 0512:05	US	SPXS	US	US	     260.000 	B	COM	-	     385	     402	 53.01 	LLEO/I
S46112	2020-056A	BSAT-4b	2020 Aug 15 2204:00	F	BSAT	J	J	    3530.000 	B	COM	-	   17396	   35762	  1.12 	MEO
S46113	2020-056B	MEV-2	2020 Aug 15 2204:00	F	SPLOG	US	US	    2326.000 	B	TECH	-	    3038	   35761	  4.37 	GTO
S46114	2020-056C	Galaxy 30	2020 Aug 15 2204:00	F	INTELU	US	US	    3298.000 	B	COM	-	    4561	   35740	  3.62 	GTO
S46117	2020-057A	Starlink 1585	2020 Aug 18 1431:00	US	SPXS	US	US	     260.000 	B	COM	-	     279	     353	 53.00 	LLEO/I
S46119	2020-057C	Starlink 1593	2020 Aug 18 1431:00	US	SPXS	US	US	     260.000 	B	COM	-	     288	     356	 53.00 	LLEO/I
S46120	2020-057D	Starlink 1601	2020 Aug 18 1431:00	US	SPXS	US	US	     260.000 	B	COM	-	     288	     356	 53.00 	LLEO/I
S46123	2020-057G	Starlink 1605	2020 Aug 18 1431:00	US	SPXS	US	US	     260.000 	B	COM	-	     289	     357	 53.00 	LLEO/I
S46124	2020-057H	Starlink 1614	2020 Aug 18 1431:00	US	SPXS	US	US	     260.000 	B	COM	-	     290	     356	 53.00 	LLEO/I
S46125	2020-057J	Starlink 1618	2020 Aug 18 1431:00	US	SPXS	US	US	     260.000 	B	COM	-	     288	     356	 53.00 	LLEO/I
S46127	2020-057L	Starlink 1621	2020 Aug 18 1431:00	US	SPXS	US	US	     260.000 	B	COM	-	     288	     357	 53.00 	LLEO/I
